Country Name,Country Code,Series Name,Series Code,2011Q1 [YR2011Q1],2016Q1 [YR2016Q1],2021Q1 [YR2021Q1],2011Q4 [YR2011Q4],2012Q1 [YR2012Q1],2013Q1 [YR2013Q1],2013Q2 [YR2013Q2],2013Q4 [YR2013Q4],2014Q1 [YR2014Q1],2014Q2 [YR2014Q2],2014Q4 [YR2014Q4],2015Q1 [YR2015Q1],2015Q2 [YR2015Q2],2015Q3 [YR2015Q3],2016Q2 [YR2016Q2],2016Q4 [YR2016Q4],2017Q1 [YR2017Q1],2017Q2 [YR2017Q2],2017Q4 [YR2017Q4],2018Q1 [YR2018Q1],2018Q2 [YR2018Q2],2018Q3 [YR2018Q3],2018Q4 [YR2018Q4],2019Q1 [YR2019Q1],2019Q2 [YR2019Q2],2019Q3 [YR2019Q3],2019Q4 [YR2019Q4],2020Q1 [YR2020Q1],2020Q2 [YR2020Q2],2020Q3 [YR2020Q3],2020Q4 [YR2020Q4],2021Q2 [YR2021Q2],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2011Q2 [YR2011Q2],2012Q2 [YR2012Q2],2011Q3 [YR2011Q3],2012Q3 [YR2012Q3],2013Q3 [YR2013Q3],2014Q3 [YR2014Q3],2016Q3 [YR2016Q3],2017Q3 [YR2017Q3],2021Q3 [YR2021Q3],2022Q3 [YR2022Q3],2012Q4 [YR2012Q4],2015Q4 [YR2015Q4]
Argentina,ARG,01_Cross-border loans from BIS reporting banks,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,12375000000,15859149000,16031630000,13209000000,12640000000,9999031000,10772419000,9360016000,10548426000,10671021000,9713778000,9422797000,10619982000,10182026000,15575825000,11558454000,11896981000,13050704000,18351001000,20151739000,21703022000,23426428000,22245124000,22752043000,21804109000,19950725000,18918613000,18916636000,17142379000,15846756000,15569733000,16245240000,17043231000,17508941000,19155267000,13034527000,..,..,12347000000,12643836000,13263000000,12487916000,9937143000,10310862000,12475140000,16573920000,16179842000,12788968000,10627861000,12323382000
Argentina,ARG,02_Cross-border loans from BIS banks to nonbanks,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.NBK,10420000000,10032313000,14740454000,10935000000,10376000000,8830652000,9414448000,7947586000,8123320000,8350696000,8025185000,7623025000,8069123000,7690229000,10216431000,9512589000,10057721000,10939888000,15678954000,17226723000,18500425000,20595869000,19202726000,19175609000,18629342000,16816063000,16381336000,16841183000,15595495000,14372141000,14369658000,15035727000,15894511000,16226574000,17741678000,11602375000,..,..,10361000000,10476924000,11098000000,10676443000,8408565000,7751731000,9499523000,14368686000,14850630000,11348350000,9262673000,9967656000
Argentina,ARG,"05_Official bilateral loans, other",Q.5A0.5A0.C.9C.GGO.LOBN.1.ALL.NV.TO1.ALL,..,..,..,10000000,..,..,..,24000000,..,..,13000000,..,..,..,..,25000000,..,..,34000000,..,..,..,32000000,..,..,..,197000000,..,..,..,238000000,..,215000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34000000,33000000
Argentina,ARG,"06_Multilateral loans, total",Q.1E0.1E0.C.9B.IFI.LMTT.1.ALL.NV.TO1.ALL,15754635265.32,17320084522,66555461863.4262,16453097849.82,16484867348.7,16448225544.56,16685283143.1,17331424014.64,17043482151.2,16877373391.68,17461909869.87,17210268413.63,17317732711.96,17264151263.04,17273497619.49,17669485367.13,17506536103.29,17520265340.52,18589723095.17,18275090484.13,18210759751.47,32978232473.5,47929990388.4035,47610467734.6607,59451314689.0612,63938882126.2381,64437162306.953,63736825205.6677,64663605478.8498,65677785750.2048,67451383882.5015,66894410893.0141,63808383112.5442,68722183490.81,65316524400.1151,70560546883.3633,70962974158.2543,..,16051408624.2,16354985687.22,16156082779.24,16447137991.41,16706120890.88,16921787354.1,17105715442.82,17631773455.22,64544749219.8694,63932819075.9556,16598721023.93,17255241072.42
Argentina,ARG,"07_Multilateral loans, IMF",Q.1C0.1C0.C.9B.IFI.LMIM.1.ALL.NV.SDR.MOA,0,0,45228347550.2862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14808778877.5,28113057446.6458,28061696636.685,38944982379.0689,43508154615.2681,44131094630.903,43555777259.4577,43903549982.4598,44920922467.9848,45964310147.4115,45522470451.6341,40952511081.2842,46633261563.77,42374431709.5451,45536053888.5258,46042821042.6343,..,0,0,0,0,0,0,0,0,43093143656.9794,40845732174.7856,0,0
Argentina,ARG,"08_Multilateral loans, other institutions",Q.1E0.1E0.C.9B.IFI.LMOI.1.ALL.NV.TO1.ALL,15754635265.32,17320084522,21327114313.14,16453097849.82,16484867348.7,16448225544.56,16685283143.1,17331424014.64,17043482151.2,16877373391.68,17461909869.87,17210268413.63,17317732711.96,17264151263.04,17273497619.49,17669485367.13,17506536103.29,17520265340.52,18589723095.17,18275090484.13,18210759751.47,18169453596,19816932941.7577,19548771097.9757,20506332309.9923,20430727510.97,20306067676.05,20181047946.21,20760055496.39,20756863282.22,21487073735.09,21371940441.38,22855872031.26,22088921927.04,22942092690.57,25024492994.8375,24920153115.62,25400502016.59,16051408624.2,16354985687.22,16156082779.24,16447137991.41,16706120890.88,16921787354.1,17105715442.82,17631773455.22,21451605562.89,23087086901.17,16598721023.93,17255241072.42
Argentina,ARG,"09_Insured export credit exposures, Berne Union",Q.8A0.5B0.C.5A.ALL.IECE.1.ALL.MX.TO1.ALL,13148000000,22548000000,16168000000,14710000000,14662000000,15468000000,15166000000,15135000000,14232000000,12979000000,21079000000,22956000000,23183000000,23441000000,21528000000,20992000000,21201000000,21410000000,24149000000,24149000000,23103000000,23103000000,22897000000,22897000000,17649000000,17649000000,16697000000,17100000000,16306000000,16306000000,16168000000,15662000000,15307000000,15307000000,15862000000,15512000000,..,..,14422000000,14208000000,14675000000,14619000000,15352000000,12239000000,21539000000,22780000000,15662000000,15862000000,15718000000,22928000000
Argentina,ARG,"10_Insured export credit exposures, short term (BU)",Q.8A0.5B0.C.5A.ALL.IECE.1.STR.MX.TO1.ALL,3846000000,3262000000,4382000000,4798000000,4512000000,4359000000,4205000000,4432000000,3632000000,3853000000,3131000000,3222000000,3655000000,3780000000,3432000000,3377000000,4247000000,5118000000,7040000000,7040000000,7315000000,7315000000,6519000000,6519000000,5132000000,5132000000,4284000000,4834000000,4093000000,4093000000,4382000000,4180000000,4238000000,4238000000,5320000000,5352000000,..,..,4250000000,4337000000,4520000000,4786000000,4274000000,3782000000,3490000000,6079000000,4180000000,5320000000,4579000000,3575000000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
